Year,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
2022,Joel Embiid,28,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857
2021,Nikola Jokić,25,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868
2020,Giannis Antetokounmpo,25,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633
2019,Giannis Antetokounmpo,24,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729
2018,James Harden,28,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858
2017,Russell Westbrook,28,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845
2016,Stephen Curry,27,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908
2015,Stephen Curry,26,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914
2014,Kevin Durant,25,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873
2013,LeBron James,28,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753
2012,LeBron James,27,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771
2011,Derrick Rose,22,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858
2010,LeBron James,25,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767
2009,LeBron James,24,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78
2008,Kobe Bryant,29,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84
2007,Dirk Nowitzki,28,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904
2006,Steve Nash,31,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921
2005,Steve Nash,30,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887
2004,Kevin Garnett,27,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791
2003,Tim Duncan,26,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71
2002,Tim Duncan,25,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799
2001,Allen Iverson,25,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814
