Rk,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
1,Precious Achiuwa,23,55,20.7,9.2,6,0.9,0.6,0.5,0.485,0.269,0.702
2,Steven Adams,29,42,27,8.6,11.5,2.3,0.9,1.1,0.597,0,0.364
3,Bam Adebayo,25,75,34.6,20.4,9.2,3.2,1.2,0.8,0.54,0.083,0.806
4,Ochai Agbaji,22,59,20.5,7.9,2.1,1.1,0.3,0.3,0.427,0.355,0.812
5,Santi Aldama,22,77,21.8,9,4.8,1.3,0.6,0.6,0.47,0.353,0.75
6,Nickeil Alexander-Walker,24,59,15,6.2,1.7,1.8,0.5,0.4,0.444,0.384,0.667
6,Nickeil Alexander-Walker,24,36,14.7,6.3,1.6,2.1,0.7,0.4,0.488,0.402,0.692
6,Nickeil Alexander-Walker,24,23,15.5,5.9,1.8,1.4,0.3,0.3,0.384,0.361,0.619
7,Grayson Allen,27,72,27.4,10.4,3.3,2.3,0.9,0.2,0.44,0.399,0.905
8,Jarrett Allen,24,68,32.6,14.3,9.8,1.7,0.8,1.2,0.644,0.1,0.733
9,Jose Alvarado,24,61,21.5,9,2.3,3,1.1,0.2,0.411,0.336,0.813
10,Kyle Anderson,29,69,28.4,9.4,5.3,4.9,1.1,0.9,0.509,0.41,0.735
11,Giannis Antetokounmpo,28,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645
12,Thanasis Antetokounmpo,30,37,5.6,1.4,1.2,0.4,0.1,0.1,0.435,0,0.5
13,Cole Anthony,22,60,25.9,13,4.8,3.9,0.6,0.5,0.454,0.364,0.894
14,OG Anunoby,25,67,35.6,16.8,5,2,1.9,0.7,0.476,0.387,0.838
15,Ryan Arcidiacono,28,20,8.6,1.3,0.8,1.2,0.3,0,0.243,0.348,0
15,Ryan Arcidiacono,28,11,2.4,0.3,0.4,0.2,0.2,0,0.2,0.333,0
15,Ryan Arcidiacono,28,9,16.2,2.6,1.2,2.3,0.3,0,0.25,0.35,0
16,Deni Avdija,22,76,26.6,9.2,6.4,2.8,0.9,0.4,0.437,0.297,0.739
17,Deandre Ayton,24,67,30.4,18,10,1.7,0.6,0.8,0.589,0.292,0.76
18,Udoka Azubuike,23,36,10,3.5,3.3,0.3,0.2,0.4,0.819,0,0.35
19,Marvin Bagley III,23,42,23.6,12,6.4,0.9,0.5,0.7,0.529,0.288,0.75
20,Patrick Baldwin Jr.,20,31,7.3,3.9,1.3,0.4,0.2,0.1,0.394,0.381,0.667
21,LaMelo Ball,21,36,35.2,23.3,6.4,8.4,1.3,0.3,0.411,0.376,0.836
22,Mo Bamba,24,49,15.7,6.6,4.6,0.9,0.3,0.9,0.485,0.387,0.661
22,Mo Bamba,24,40,17,7.3,4.6,1.1,0.3,1,0.495,0.398,0.686
22,Mo Bamba,24,9,9.8,3.7,4.6,0.4,0.1,0.6,0.407,0.313,0.545
23,Paolo Banchero,20,72,33.8,20,6.9,3.7,0.8,0.5,0.427,0.298,0.738
24,Desmond Bane,24,58,31.7,21.5,5,4.4,1,0.4,0.479,0.408,0.883
25,Dalano Banton,23,31,9,4.6,1.5,1.2,0.4,0.4,0.423,0.294,0.708
26,Dominick Barlow,19,28,14.6,3.9,3.6,0.9,0.4,0.7,0.535,0,0.72
27,Harrison Barnes,30,82,32.5,15,4.5,1.6,0.7,0.1,0.473,0.374,0.847
28,Scottie Barnes,21,77,34.8,15.3,6.6,4.8,1.1,0.8,0.456,0.281,0.772
29,RJ Barrett,22,73,33.9,19.6,5,2.8,0.4,0.2,0.434,0.31,0.74
30,Will Barton,32,56,17.7,6.8,2.4,2,0.5,0.2,0.379,0.367,0.787
30,Will Barton,32,40,19.6,7.7,2.8,2.4,0.4,0.3,0.386,0.377,0.778
30,Will Barton,32,16,13.2,4.5,1.6,1.1,0.7,0.2,0.354,0.333,1
31,Charles Bassey,22,35,14.5,5.7,5.5,1.3,0.5,0.9,0.644,0.375,0.595
32,Keita Bates-Diop,27,67,21.7,9.7,3.7,1.5,0.7,0.3,0.508,0.394,0.793
33,Nicolas Batum,34,78,21.9,6.1,3.8,1.6,0.7,0.6,0.42,0.391,0.708
